frame,time_s,x,y,visible
213,3.5448,869.69,502.09,1
214,3.5615,863.27,508.33,1
215,3.5781,856.85,514.66,1
216,3.5948,849.81,522.34,1
217,3.6114,842.10,530.93,1
218,3.6281,836.64,536.95,1
219,3.6447,827.07,548.74,1
220,3.6613,818.76,559.35,1
221,3.6780,809.84,569.79,1
222,3.6946,801.59,582.22,1
223,3.7113,792.35,594.89,1
224,3.7279,781.90,609.68,1
225,3.7446,771.69,624.78,1
226,3.7612,760.87,641.35,1
227,3.7778,750.58,657.49,1
228,3.7945,736.87,679.43,1
229,3.8111,724.76,699.89,1
230,3.8278,712.37,718.71,1
231,3.8444,699.88,711.85,1
232,3.8611,688.13,704.44,1
233,3.8777,675.33,696.73,1
234,3.8943,662.33,689.84,1
235,3.9110,648.33,682.51,1
236,3.9276,633.65,675.43,1
237,3.9443,618.16,669.31,1
238,3.9609,590.33,672.33,1
239,3.9776,581.75,663.63,0
240,3.9942,565.44,657.87,0
241,4.0108,549.12,652.11,0
242,4.0275,532.80,646.35,0
243,4.0441,516.48,640.59,0
244,4.0608,500.17,634.83,0
245,4.0774,483.85,629.07,0
246,4.0940,467.53,623.31,0
247,4.1107,451.21,617.55,0
248,4.1273,434.90,611.79,0
249,4.1440,418.58,606.03,0
250,4.1606,402.26,600.27,0
251,4.1773,385.94,594.51,0
252,4.1939,369.63,588.75,0
253,4.2105,353.31,582.99,0
254,4.2272,336.99,577.23,0
255,4.2438,320.68,571.47,0
256,4.2605,304.36,565.71,0
257,4.2771,288.04,559.95,0
258,4.2938,271.72,554.19,0
259,4.3104,,,0
260,4.3270,689.64,473.08,1
261,4.3437,698.69,463.40,0
262,4.3603,709.51,453.45,0
263,4.3770,716.92,467.81,1
264,4.3936,723.58,467.38,1
265,4.4103,730.26,466.79,1
266,4.4269,736.53,466.68,1
267,4.4435,742.00,466.76,1
268,4.4602,747.50,466.85,1
269,4.4768,752.50,467.31,1
270,4.4935,756.43,467.98,1
271,4.5101,760.05,468.35,1
272,4.5268,763.85,469.52,1
273,4.5434,767.56,470.60,1
274,4.5600,771.06,471.95,1
275,4.5767,774.03,473.44,1
276,4.5933,776.63,474.92,1
277,4.6100,779.42,476.44,1
278,4.6266,783.17,477.46,0
279,4.6433,786.24,478.83,0
280,4.6599,789.32,480.20,0
281,4.6765,792.39,481.57,0
282,4.6932,795.46,482.93,0
283,4.7098,798.54,484.30,0
284,4.7265,801.61,485.67,0
285,4.7431,804.69,487.04,0
286,4.7597,807.76,488.41,0
287,4.7764,810.83,489.77,0
288,4.7930,813.91,491.14,0
289,4.8097,816.98,492.51,0
290,4.8263,820.06,493.88,0
291,4.8430,823.13,495.25,0
292,4.8596,826.21,496.62,0
293,4.8762,829.28,497.98,0
294,4.8929,832.35,499.35,0
295,4.9095,835.43,500.72,0
296,4.9262,838.50,502.09,0
297,4.9428,841.58,503.46,0
298,4.9595,,,0
299,4.9761,,,0
300,4.9927,,,0
301,5.0094,,,0
302,5.0260,,,0
303,5.0427,,,0
304,5.0593,,,0
305,5.0760,,,0
306,5.0926,,,0
307,5.1092,,,0
308,5.1259,,,0
309,5.1425,,,0
310,5.1592,,,0
311,5.1758,,,0
312,5.1925,,,0
313,5.2091,,,0
314,5.2257,,,0
315,5.2424,,,0
316,5.2590,,,0
317,5.2757,,,0
318,5.2923,,,0
319,5.3089,,,0
320,5.3256,,,0
321,5.3422,,,0
322,5.3589,,,0
323,5.3755,,,0
324,5.3922,,,0
325,5.4088,,,0
326,5.4254,,,0
327,5.4421,,,0
328,5.4587,,,0
329,5.4754,,,0
330,5.4920,,,0
331,5.5087,,,0
332,5.5253,,,0
333,5.5419,,,0
334,5.5586,,,0
335,5.5752,,,0
336,5.5919,,,0
337,5.6085,,,0
338,5.6252,,,0
339,5.6418,,,0
340,5.6584,,,0
341,5.6751,,,0
342,5.6917,,,0
343,5.7084,,,0
344,5.7250,,,0
345,5.7417,,,0
346,5.7583,,,0
347,5.7749,,,0
348,5.7916,,,0
349,5.8082,,,0
350,5.8249,,,0
351,5.8415,,,0
352,5.8582,,,0
353,5.8748,,,0
354,5.8914,,,0
355,5.9081,,,0
356,5.9247,,,0
357,5.9414,,,0
358,5.9580,,,0
359,5.9746,,,0
360,5.9913,,,0
361,6.0079,,,0
362,6.0246,,,0
363,6.0412,,,0
364,6.0579,,,0
365,6.0745,,,0
366,6.0911,,,0
367,6.1078,,,0
368,6.1244,,,0
369,6.1411,,,0
370,6.1577,,,0
371,6.1744,,,0
372,6.1910,,,0
373,6.2076,945.60,478.71,1
374,6.2243,946.71,478.13,0
375,6.2409,956.16,483.84,1
376,6.2576,961.32,487.26,1
377,6.2742,966.67,490.58,1
378,6.2909,972.14,494.50,1
379,6.3075,978.11,498.59,1
380,6.3241,983.95,502.85,1
381,6.3408,989.51,507.45,1
382,6.3574,996.30,512.80,1
383,6.3741,1002.72,518.24,1
384,6.3907,1009.14,523.68,1
385,6.4074,1016.81,530.93,1
386,6.4240,1022.71,536.87,1
387,6.4406,1030.67,542.95,1
388,6.4573,1038.54,551.98,1
389,6.4739,1045.83,559.66,1
390,6.4906,1053.62,567.88,1
391,6.5072,1062.03,577.72,1
392,6.5239,1070.33,586.82,1
393,6.5405,1079.47,596.74,1
394,6.5571,1089.09,608.38,1
395,6.5738,1098.68,620.39,1
396,6.5904,1108.45,632.57,1
397,6.6071,1117.67,643.04,1
398,6.6237,1125.27,637.83,1
399,6.6403,1132.39,631.50,1
400,6.6570,1139.26,625.15,1
401,6.6736,1147.59,619.01,1
402,6.6903,1154.96,613.14,1
403,6.7069,1162.78,607.66,1
404,6.7236,1170.41,601.70,1
405,6.7402,1178.66,596.77,1
406,6.7568,1188.72,591.12,1
407,6.7735,1197.63,585.10,1
408,6.7901,1205.91,581.08,1
409,6.8068,1216.22,575.84,1
410,6.8234,1224.84,571.92,1
411,6.8401,1235.85,567.13,1
412,6.8567,1246.21,563.51,1
413,6.8733,1256.97,559.17,1
414,6.8900,1269.15,555.57,1
415,6.9066,1278.67,553.05,1
416,6.9233,1289.83,551.22,1
417,6.9399,1304.34,546.97,1
418,6.9566,1317.82,544.64,1
419,6.9732,1329.26,541.77,1
